ISO,m49_code,country,incgrp,fsci_regions,UNmemberstate,UN_contregion_code,UN_continental_region,UN_subregion_code,UN_subregion,UN_intermedregion_code,UN_intermediary_region,wb_region,cohd,avail_fruits,avail_veg,UPFretailval_percap,safeh20,pou,fies_modsev,pctcantafford,MDD_W,MDD_iycf,All5,zeroFV,zeroFV_iycf,NCD_P,NCD_R,SSSD,fs_emissions,emint_cerealsnorice,emint_beef,emint_cowmilk,emint_rice,yield_cereals,yield_fruit,yield_beef,yield_cowmilk,yield_vegetables,croplandchange_pct,agwaterdraw,functionalintegrity,fishhealth,pesticides,sustNO2mgmt,aginGDP,unemp_r,underemp_r,spcoverage,spadequacy,childlabor,landholding_fem,cspart,mufppurbshare,righttofood,fspathway,govteffect,foodsafety,healthtax,accountability,open_budget_index,accessinfo,damages_gdp,kcal_total,mobile,soccapindex,pctagland_minspecies,genres_plant,genres_animal,rcsi_prevalence,fpi_cv,foodsupplyvar,totalpop,GDP,GDP_percap,landarea,agland_area,cropland,yield_eggs,emint_eggs,emint_chickenmeat,emint_pork,yield_citrus,yield_chickenmeat,yield_pork,yield_pulses,yield_roottuber,yield_treenuts,pop_u,prod_cereals,prod_citrus,prod_fruit,prod_eggs,prod_beef,prod_chickenmeat,prod_pork,prod_pulses,prod_cowmilk,prod_roottuber,prod_treenuts,prod_vegetables,prod_cerealsnorice,prod_rice,areaharvested_cereals,areaharvested_citrus,areaharvested_fruit,producinganimals_eggs,producinganimals_beef,producinganimals_chickenmeat,producinganimals_pork,areaharvested_pulses,producinganimals_cowmilk,areaharvested_roottuber,areaharvested_treenuts,areaharvested_vegetables,agland_area2010,agland_area2015
SWZ,748,Eswatini,Lower middle income,Sub-Saharan Africa,1,2,Africa,202,Sub-Saharan Africa,18,Southern Africa,Sub-Saharan Africa,3.391,258.95889,87.23288,71.942886,,11,67,71.800003,,47.70291,,,21.37016,,,,2493.6799,0.12819999,37.636398,6.3666,0.69270003,1.2755,9.2276,224.9,295,8.0551,0,22.305986,88.55782926,,,1.155445567,9.1003399,28.278999,1.8,81.201111,13.590051,6.0999999,42,0.463,0,2,1,-0.768503189,40,0,-0.62900001,31,0,0,0.466084927,107.14002,0.36643121,15.315315,0.746,0,38.253426,0.007612194,18,1172369,4941373182,4214.8618,17.200001,12.22,1.9,0.05869,0.9831,2.4586999,6.6714001,7.8285,0.01,50,0.5784,5.2936,1.4801,443.77802,89715,95821,146442,1344,16619,6024,1373,2889,40163,73385,1042,13154,88715,1000,70337,12240,15870,229,73.9,6024,27.452,4995,136.166,13863,704,1633,12.22,12.22
ETH,231,Ethiopia,Low income,Sub-Saharan Africa,1,2,Africa,202,Sub-Saharan Africa,14,Eastern Africa,Sub-Saharan Africa,3.3659999,24.136988,38.684933,22.386049,12.57741919,24.9,56.200001,86.800003,,13.49443,,,69.16325,,,,183520.92,0.1129,187.0731,3.0234001,1.6706001,2.8613,8.2928,108.5,621.1,5.0016,1.4668677,7.9401641,94.77425572,,0.22,0.886520963,35.451401,2.029,36.099998,21.663557,8.2534885,40.5,18.68,0.65899998,6.3738546,1,1,-0.552068293,40,1,0.016000001,8,1,0,0.661144972,38.707909,0.46892729,47.320744,73.164,5,25.180105,0.69921601,39,117876226,1.11271E+11,943.9657,1128.5713,384.76102,184.761,0.046366,1.248,2.7744,4.3076,5.9297,0.008,51.5,1.88,20.8329,1.0727,89924.406,30248751,58431,1558021,49769,433025,67803,2165,2991322,4692994,5114412,62255,1622146,24078400,189649,10571534,9854,187876,10734,3990.324,84754,42.006,1591155,7556.402,245497,58038,324324,356.82999,371.20999
FJI,242,Fiji,Upper middle income,Oceania,1,9,Oceania,54,Melanesia,,,East Asia & Pacific,3.914,104.68493,183.28767,125.73669,,5.7,19.299999,60.400002,,,,,,,,,1139.83,10.1565,57.135799,10.6615,1.5513,3.4452,7.6084,134.4,379.9,10.4944,-0.57720053,0.17513135,98.98614397,20.61882524,8.8699999,1.086921451,14.8937,3.1919999,,37.11095,11.275939,,3.5999999,0.611,0,1,1,0.301874936,80,1,0.359,37,1,0.21776441,0.617266953,110.60355,,68.888885,,,,0.96362668,32,902899,4592118710,5085.9717,18.27,3.1160002,1.386,0.174647,0.28209999,0.68720001,18.466299,20.0641,0.020222,45,3.0011,13.4489,,726.03497,9936,1565,40895,8156,2507,25368,4085,2716,12393,142558,,55316,1728,8208,2884,78,5375,467,18.66,12545,90.777,905,32.62,10600,,5271,3.191,3.1560001
FIN,246,Finland,High income,Northern America and Europe,1,150,Europe,154,Northern Europe,,,Europe & Central Asia,2.7119999,200.16438,233.20549,1173.0103,99.9,2.5,8.8000002,0.1,,,,,,,,,21536.316,0.17560001,14.5692,0.4964,,3.5893,3.2756,329,9414.4,24.9069,0.021351444,0.36363637,98.69424982,,2.1900001,0.971081075,2.4507899,6.4429998,6.0999999,,,,11.1,0.97500002,0,2,1,1.948934793,100,1,1.813,,1,0,0.747296631,128.50316,0.88340151,0,0.713,1,,0.54494107,11,5541696,2.99155E+11,53982.613,303.94,22.700001,22.48,0.198846,0.51270002,0.1193,1.8267,,0.017161,91.8,2.2605,30.1643,,3176.2529,3415550,0,25550,75800,87110,136890,175070,77760,2406520,624400,0,270240,3365670,,951600,0,7800,3812,264.8,79767,1906.36,34400,255.62,20700,0,10850,22.918999,22.733999
FRA,250,France,High income,Northern America and Europe,1,150,Europe,155,Western Europe,,,Europe & Central Asia,3.2190001,249.75343,263.72604,649.25348,99.9,2.5,5.9000001,0.1,,,,,,,,,161292.73,0.1105,22.026501,0.6462,22.3302,6.3842,9.8058,319.8,7278.6,21.0816,-0.52129352,1.3947867,70.37294801,26.90663148,3.4400001,0.615041925,1.59684,6.3330002,8.3999996,,,,22.700001,0.91399997,19.745338,2,0,1.247808337,80,1,1.656,72,1,0.19176349,0.795053542,111.45563,0.47486073,36.428169,36.253,11,,0.58045131,45,67499343,2.93747E+12,43518.539,547.55701,285.53754,189.70538,0.216166,0.47170001,0.60519999,1.8176,15.6261,0.014666,94.5,2.3215,40.5217,1.3718,47936.457,56849840,73130,8887220,984638,1434590,1130000,2201110,861010,25147310,8691900,55420,4422070,54881288,76320,8904740,4680,906320,45550,4486.48,770478,23291.02,370880,3454.98,214500,40400,209760,289.263,287.26901
GUF,254,French Guiana,,Latin America & Caribbean,1,19,Americas,419,Latin America and the Caribbean,5,South America,,,,,,90.56376568,,,,,,,,,,,,2746.1292,0.056600001,70.574997,3.9754,4.4596,1.6984,8.295,149.7,694.3,16.4224,-0.085015856,,99.95987433,,,0.871727677,,,,,,,,,0,3,0,1.320386887,,0,,,0,,,,,0,,,,,,,,,82.809998,0.32519999,0.1882,0.063333,0.51059997,0.46509999,2.3884001,2.7289,0.0102,64.7,,4.8515,,250.96899,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24299999,0.31299999
GAB,266,Gabon,Upper middle income,Sub-Saharan Africa,1,2,Africa,202,Sub-Saharan Africa,17,Middle Africa,Sub-Saharan Africa,3.552,367.28766,87.287674,164.87326,,17.2,,36.299999,56.25,17.82716,23.51,13.25,52.45966,2.82,2.2,36.54,7731.0762,0.30039999,38.2808,1.3551,1.3448,1.6211,6.0742,129.4,1386,5.1401,0,0.024277108,99.57557392,13.9645384,,1.146473398,5.2107902,21.273001,,48.375427,4.0244603,14.5,,0.76099998,0,2,1,-0.909902334,20,0,0.191,,0,0,0.716576636,137.01233,0.40097749,17.789404,,0,,0.52459317,39,2278829,18269350434,8016.9907,257.67001,22.126398,4.9499998,0.04,1.4438,2.6657,16.0599,5.439,0.007999,30,1.3429,5.5566,,2061.293,46419,1338,387085,2500,984,3990,3573,423,13983,624298,,50018,44719,1700,28634,246,63726,625,7.602,4988,119.099,315,10.089,112353,,9731,21.175901,21.77
GMB,270,Gambia (Republic of The),Low income,Sub-Saharan Africa,1,2,Africa,202,Sub-Saharan Africa,11,Western Africa,Sub-Saharan Africa,3.1099999,18.739727,38.739727,27.260771,44.71526912,21.6,58,64,,22.82907,,,56.5838,,,,2213.2339,0.090400003,130.7034,1.3522,16.7668,0.7448,5.0148,120,1389,6.1525,0,0.49000001,69.57079386,14.96628837,1.3200001,1.039969168,17.5779,9.0690002,7.8000002,2.9545779,28.856091,13.6,9,0.83099997,22.259533,1,1,-0.672010839,20,0,1.028,35,1,0,0.680002272,110.81183,0.47937128,0.80645162,,0,,0.7763024,30,2486937,2078070684,835.59442,10.12,6.0500002,4.4499998,0.038339,1.4973,3.0555,7.4330001,,0.01,40,0.2061,3.7903,1.6421,1973.267,173776,,9503,1039,4249,1619,491,2477,78439,11841,2767,12828,145000,28000,233311,,1895,271,35.406,1619,12.285,12021,56.47,3124,1685,2085,6.1500001,6.0500002
GEO,268,Georgia,Upper middle income,Northern Africa & Western Asia,1,142,Asia,145,Western Asia,,,Europe & Central Asia,,135.0959,168.30138,208.9157,66.35490242,7.6,38.799999,,,52.58951,,,9.406621,,,,5255.7305,0.4224,28.881201,1.5772001,,2.6475,4.0501,72,1264.6,11.9091,-1.8177675,0.72294331,92.70926913,36.86009237,6.54,1.120524822,7.36976,8.3500004,4.0999999,63.554401,34.062527,1.5,31,0.833,0,2,1,0.787500978,40,0,1.074,87,1,0,0.750379801,127.84877,0.31865796,0,0.44,0,,0.84471267,24,3708610,18700241392,5042.3857,69.489998,23.778999,4.3789997,0.143024,0.37709999,0.97240001,1.8437999,3.5227,0.015105,35,1.2333,13.2866,1.7053,2848.3779,412339,56800,633400,44180,20100,23700,19800,5281,558700,208600,41550,176100,405296,,155744,16124,156390,3089,279.151,15690,565.806,4282,441.8,15700,24365,14787,24.6,24.181002
DEU,276,Germany,High income,Northern America and Europe,1,150,Europe,155,Western Europe,,,Europe & Central Asia,3.0250001,206.79453,242.41096,701.93311,99.9,2.5,3.5,0.2,,,,,,,,,181345.69,0.1568,14.8085,0.55250001,,7.1333,14.523,332.5,8457.4,33.2288,-0.31866464,0.2592952,75.61496761,30.97323745,4.0500002,0.673586224,0.73531097,2.5120001,1.2,,,,8.3999996,0.98000002,7.9009571,2,1,1.360797763,80,0,1.7690001,73,1,0.94716793,0.877203882,128.18686,0.64857167,0.016189089,181.889,0,,1.3026884,15,83129285,4.22312E+12,50801.785,349.39001,165.95,118.62,0.1439,0.49669999,0.39320001,1.4757,,0.017106,95.9,2.9847,42.834,3.1936,66303.398,43265100,0,2501450,839654,1091000,1066000,5118000,567400,33164910,11715100,,3437190,41196600,,6065200,0,172240,,3281,623161,53378,190100,3921.41,273500,290,103440,167,167.31
GHA,288,Ghana,Lower middle income,Sub-Saharan Africa,1,2,Africa,202,Sub-Saharan Africa,11,Western Africa,Sub-Saharan Africa,4.033,554.10962,80.9589,76.626045,41.4104497,4.1,36.599998,61.200001,44.04,26.05488,20.33,9.58,42.65919,2.95,1.45,17.69,20263.742,0.167,66.521004,13.8749,0.84460002,1.925,12.9874,197.1,135.3,9.5177,-0.054396458,1.9039146,71.13666008,43.79782435,1.86,0.716185204,18.2377,2.638,17.700001,56.561829,4.7952914,14.8,,0.86699998,11.718877,2,1,-0.152652383,40,0,1.2029999,56,1,0,0.652057767,130.21494,0.33778569,0.078585461,0.418,0,,0.82426292,43,31732128,77594279055,2445.2908,227.533,126.0374,52.209999,0.026386,2.1928,4.3817,7.8715,29.598,0.006868,42.5,0.7698,18.8742,0.5064,25230.934,4570041,744359,6350716,46751,30729,72138,25358,423888,45872,31736004,83884,788396,3597041,973000,2374012,25149,488991,17718,155.885,105041,597.077,550671,338.955,1681451,165644,82835,127.4427,127.0876
GRC,300,Greece,High income,Northern America and Europe,1,150,Europe,39,Southern Europe,,,Europe & Central Asia,3.1300001,394.43835,411.45203,323.47839,99.9,2.5,6.8000002,3.2,,,29.23,4.45,,3.25,2.26,24.07,24526.295,0.2255,29.2749,0.61510003,2.3367,4.1971,15.7248,240.3,7947.2,32.9035,-0.38407931,11.852339,78.96828811,13.36595923,3.25,0.684176763,4.1178598,16.035,4.8000002,,,,27.700001,0.82700002,8.116498,2,0,0.444480121,80,0,1.447,,1,0.28671768,0.895008564,109.49761,0.25493041,50.325027,7.136,0,,0.77067542,28,10664568,2.16241E+11,20276.545,128.89999,58.671879,32.201603,0.097357,0.98580003,0.4312,3.1609001,25.6773,0.01676,61.4,1.3944,28.6484,1.8322,9042.6934,3105370,1171140,4436280,,34740,236520,80890,182270,683460,450640,109710,1918930,2774400,287410,739890,45610,282120,,144.59,141123,1317.59,130720,86,15730,59880,58320,74.889999,61.990002
GRD,308,Grenada,Upper middle income,Latin America & Caribbean,1,19,Americas,419,Latin America and the Caribbean,29,Caribbean,Latin America & Caribbean,5.796,328.08218,275.47946,217.85326,87.11526835,,22.299999,,,,,,,,,,125.4876,0.14300001,56.210899,3.0868001,,1,5.7287,159.4,815.7,9.3169,0,1.05,100,22.9915038,,0.691134499,4.86871,,,,,,28.799999,,0,3,0,-0.065413058,,0,,,0,0,0.702764094,108.42228,,100,,,,0.38759536,14,113015,1122083185,9928.6221,0.34,0.079999998,0.07,0.098053,0.48800001,0,2.5801001,8.683,0.009709,70.9,1.3143,3.8894,,104.297,381,3725,19111,2971,138,534,256,276,562,2672,,6438,381,,381,429,3336,303,0.866,550,3.611,210,0.689,687,,691,0.079999998,0.079999998
GTM,320,Guatemala,Upper middle income,Latin America & Caribbean,1,19,Americas,419,Latin America and the Caribbean,13,Central America,Latin America & Caribbean,,132.9863,147.39726,290.65842,55.83407651,16,55.900002,,,59.31613,,,26.75561,,,,22793.004,0.433,29.6642,3.4937,0.6929,2.1971,29.2184,200.3,722.1,13.124,0,1.4744742,97.13194054,3.676404271,5.79,0.662307749,10.2434,1.8430001,7.1999998,63.268311,22.320297,8.1000004,7.77,0.63599998,23.637499,1,1,-0.6874367,60,0,0.56800002,64,1,0,0.625948191,113.81538,0.33650699,3.2911391,0.946,,31.466637,0.54910123,17,17109746,85986321551,5025.5757,107.16,38.560001,20.450001,0.135426,0.3951,0.2534,9.6732998,15.4976,0.016811,50.1,1.0916,21.7215,5.4502,14488.293,1984853,378390,6898708,274467,227452,234226,64837,321422,512643,593823,33726,1238156,1952853,32000,903400,24416,236108,20267,1135.782,139332,1294.955,294450,709.909,27338,6188,94343,39.6208,38.560001
GIN,324,Guinea,Low income,Sub-Saharan Africa,1,2,Africa,202,Sub-Saharan Africa,11,Western Africa,Sub-Saharan Africa,4.1269999,246.19179,133.91782,27.154751,,,73.300003,94.900002,,13.80959,,,62.67694,,,,36770.195,0.1157,94.040199,7.4812002,2.2426,1.3299,4.2679,140.8,251,2.776,0,0.26548672,98.05244424,6.761086841,0.029999999,0.84017211,23.6672,3.112,,3.8932226,10.268514,19.5,5.6599998,0.66299999,0,2,1,-0.894325078,40,0,-0.12899999,,1,0,0.627618611,105.04237,0.42517889,88.303642,0.096,0,36.035503,0.96277374,16,13497237,15850520384,1174.353,245.72,145,38,0.037135,1.5583,8.6313,15.3151,5.3871,0.014408,29.2,0.921,8.7332,1.7751,9313.8984,4666854,238918,1317847,28902,105217,12384,2677,56933,176999,3478948,21007,561210,1184471,2916395,3509266,44350,308781,7783,747.365,8595,91.775,61816,705.204,398359,11834,202164,143,145
GNB,624,Guinea-Bissau,Low income,Sub-Saharan Africa,1,2,Africa,202,Sub-Saharan Africa,11,Western Africa,Sub-Saharan Africa,3.5050001,148.52054,57.09589,25.821001,24.3268252,31.7,75,87.199997,,8.089145,,,68.96288,,,,4063.6907,0.083099999,108.3441,10.6622,1.3177,1.5026,4.4649,114,176.1,5.9083,0,0.45859873,98.85707839,6.157606976,0.15000001,1.093112416,30.8634,3.625,,,,14.9,,0.75,0,2,0,-1.431687355,40,0,0.70899999,,0,0,,97.248833,0.39942524,4.347826,,0,32.99118,1.3587228,28,2015490,1638517533,812.9624,28.120001,8.1511002,5.5,0.041314,1.4093,2.4066,8.8334999,5.3516,0.008525,40.8,0.3773,7.0808,0.5513,1534.021,252629,11233,109077,1289,7290,3155,14093,3736,19211,127880,160630,39426,52000,198000,168129,2099,24430,312,63.944,3701,345.819,9901,109.069,18060,291365,6673,7.4756999,7.8978996
GUY,328,Guyana,Upper middle income,Latin America & Caribbean,1,19,Americas,419,Latin America and the Caribbean,5,South America,Latin America & Caribbean,4.8889999,449.17807,874.08221,119.83009,,4.9,,43,,52.42071,,,16.70161,,,,17223.236,9.9221001,39.031101,1.8089,2.1031001,3.6659,27.4938,188.5,1410.3,53.308,0,0.50295204,99.87778211,,1,0.701725513,16.851101,15.971,4.4000001,,,4.9000001,,0.73900002,0,1,1,-0.438169897,100,0,0.764,,1,0,0.559249461,108.82942,0.40997171,68.321167,1.294,,,,19,790329,7409179921,9374.8047,196.85001,12.4125,4.5999999,0.048783,1.0977,2.3740001,3.0380001,23.7854,0.01446,64,1.5077,26.5621,,576.05902,691539,32253,327946,3127,2927,47112,793,1473,55000,106700,,194361,4000,687539,188640,1356,11928,641,15.526,32580,12.39,977,39,4017,,3646,11.651899,12.236401
HTI,332,Haiti,Lower middle income,Latin America & Caribbean,1,19,Americas,419,Latin America and the Caribbean,29,Caribbean,Latin America & Caribbean,4.4899998,269.64383,45.369862,48.20174,,47.2,82.5,85.900002,,19.17632,,,54.65935,,,,8981.376,0.1682,55.0327,9.8874998,1.1229,1.2717,5.917,156.6,255.2,4.8301,0,8.6221647,98.04433154,5.454054694,0.02,0.846341994,18.7377,8.46,15.9,19.462141,34.598221,21.6,25.4,0.37799999,0,1,1,-2.033819437,20,0,0.417,,0,7.7351065,,64.187523,0.28717011,89.375,,,54.107243,0.66022766,29,11541683,20944392615,1814.6741,27.559999,18.4,13.5,0.086837,0.6196,2.3123,6.7270002,5.1684,0.009108,60,0.5148,4.5542,,10264.774,370000,138735,1169114,4585,48287,8707,31810,146397,49902,873660,,152995,198000,172000,290951,26843,197587,528,308.444,9560,530.208,284353,195.574,191837,,31675,18.700001,18.4
HND,340,Honduras,Lower middle income,Latin America & Caribbean,1,19,Americas,419,Latin America and the Caribbean,13,Central America,Latin America & Caribbean,3.4860001,152.79453,85.287666,133.81741,,15.3,49.900002,51.299999,,60.72642,,,36.0599,,,,17848.215,0.3714,73.516296,1.8389,0.5399,1.8901,34.2913,189.2,1372,27.6283,0.4511278,1.2781563,98.408582,6.593530819,5.1500001,0.996255679,12.1172,3.911,29.9,43.536324,11.649168,12.2,,0.75599998,16.456705,1,1,-0.595982313,80,0,0.65100002,61,1,0,0.663563132,70.276932,0.34950647,20.209974,0.064,,47.608887,1.1267583,12,10062994,28488668302,2831.033,111.89,35.110001,15.96,0.114667,0.4664,0.84030002,9.8506002,27.5148,0.019476,63.6,0.805,8.3027,1.4501,6923.2871,753676,319034,1548940,51600,63681,193527,9903,127733,683419,85543,2094,363892,688042,65634,398750,11595,45170,4500,336.588,99365,155.752,158677,498.124,10303,1444,13171,32.700001,33.77
HUN,348,Hungary,High income,Northern America and Europe,1,150,Europe,151,Eastern Europe,,,Europe & Central Asia,3.4879999,196.79453,254.21918,380.46735,92.58851023,2.5,10.6,2,,,,,,,,,27991.77,0.1552,53.3493,0.40889999,29.253099,6.6591,8.5975,261.5,8913,19.3668,-1.5971223,0.49865386,50.61674808,,2.0799999,0.541173464,3.4504099,4.9759998,0.89999998,89.444992,50.401897,,26.299999,0.57099998,0,2,1,0.580902457,80,1,0.46599999,44,1,0,0.633768439,106.95947,0.44329938,85.492226,49.393,0,,0.73039877,10,9709886,1.82281E+11,18772.674,91.260002,49.029999,41.700001,0.09121,1.132,0.1939,1.3279999,,0.019424,95.6,2.2373,26.2989,0.8019,7661.5771,15566640,0,1164360,139733,29150,354480,455720,27250,2014330,270090,6030,666410,15240910,11740,2337650,0,135430,,111.46,182493,4768.02,12180,226,10270,7520,34410,53.43,52.639999
ISL,352,Iceland,High income,Northern America and Europe,1,150,Europe,154,Northern Europe,,,Europe & Central Asia,2.414,239.45206,209.67123,1074.1534,99.9,2.5,6.3000002,0,,,,,,,,,1704.3958,3.4993999,25.829,0.77420002,,4.858,,216.8,6035.6,73.8095,0,0.000176,100,53.41772675,0.01,1.403016299,4.3339,2.721,3.0999999,,,,15.4,0.96399999,0,2,0,1.523776293,80,0,1.511,,1,0,0.693567157,123.48502,0.67213213,0,,4,,0.80723339,26,372295,25458933916,68383.766,100.83,18.719999,1.21,0.209852,0.4858,0.01,1.1495,,0.016563,85.2,,18.4475,,279.70599,7287,,,4260,4652,9070,6813,,155495,7379,,4650,7287,,1500,,,203,21.462,5476,79.973,,25.763,400,,63,18.74,18.719999
IND,356,India,Lower middle income,Southern Asia,1,142,Asia,34,Southern Asia,,,South Asia,2.97,174.10959,244.24658,19.809242,,16.3,,70.5,40.83,16.39,28.18,22.3,54.78,3.35,1.49,13.32,1389923.4,0.25350001,140.9738,1.2122,0.86540002,3.2828,14.6559,103,1703,15.451,-0.088210821,36.003979,44.4920063,26.98914774,0.37,0.765444884,18.319,7.6009998,,93.9888,5.1993198,4.3000002,12.8,0.65200001,0.83089602,1,1,0.386543751,60,1,0.60600001,37,1,0.24610846,0.68809247,83.601898,0.46947238,66.391441,410.565,37,,0.77317899,20,1393409033,3.1734E+12,2277.4343,2973.1899,1790.4508,1686.6908,0.200211,0.26620001,0.50470001,5.5201001,13.2628,0.013523,35,0.7042,23.5968,0.6928,1231972.1,335035000,13979000,105971127,6292000,916581,3550636,335932,23368478,87822387,57529000,772779,141195036,156730000,178304992,102057166,1054000,7230630,314269,8898.832,2625635,9597.994,33182633,51568.474,2438000,1115434,9138225,1795.73,1796.75
IDN,360,Indonesia,Lower middle income,South-eastern Asia,1,142,Asia,35,South-eastern Asia,,,East Asia & Pacific,4.4660001,188.95891,122.54794,78.471153,,6.5,6,69.099998,86.13,53.92532,60.15,3.93,17.84829,4.69,3.13,9.18,900290.81,0.16850001,58.7234,1.8446,1.4323,5.2796,25.5112,299.8,1667.7,10.5996,1.9493177,9.3971367,94.15439021,19.07084726,0.029999999,0.675993111,13.704,2.9419999,10.9,44.580029,4.2741399,,10.8,0.84399998,1.4604797,2,1,0.36916241,60,0,0.95899999,70,1,0.07829909,0.569264829,130.01451,0.36071923,30.919527,4.902,9,,0.85890651,46,276361788,1.18609E+12,4291.8125,1877.519,623,513,0.179383,0.29710001,3.3241,9.0445995,38.128,0.007894,21.6,1.0761,23.5178,0.3197,263596.13,77149202,2722952,22743965,5044395,515628,3707876,241354,213807,947685,21546759,239075,12581898,22500000,54649200,14612615,71416,891530,281208,1719.776,4697236,11180.736,198694,568.265,916189,747709,1187013,556,573
IRN,364,Iran (Islamic Republic of),Lower middle income,Southern Asia,1,142,Asia,34,Southern Asia,,,Middle East & North Africa,3.55,395.04111,380.10962,130.93463,93.98386362,4.1,42.400002,20.299999,,,,,,,,,200436.64,0.1485,5.6427002,0.56050003,1.539,2.1408,16.1692,450,3683.5,31.8517,1.2078011,62.753109,92.05764543,24.36365763,0.33000001,0.779378814,12.8082,7.8649998,,,,,,0.242,0,1,0,-0.98937428,80,0,-0.44400001,,1,1.0183653,0.738264799,151.94722,0.41604051,25.362152,,,,0.5822708,49,85028760,2.31548E+11,2756.75,1622.5,470.13,175.36,0.14577,0.36559999,1.6217,,29.3819,0.012205,,0.6687,34.1404,2.2353,74480.023,22012721,4005280,18963596,755570,526429,2219155,,507567,7508993,4474886,728491,12623192,20012720,2000000,10282626,136318,1172823,51833,1169.843,1818160,,759011,2038.571,131073,325908,396311,465.39398,459.54001
IRQ,368,Iraq,Upper middle income,Northern Africa & Western Asia,1,142,Asia,145,Western Asia,,,Middle East & North Africa,3.54,213.06848,294.30136,102.54952,59.66446001,15.9,,49.599998,,44.58257,,,25.31737,,,,44052.969,0.1424,65.503304,2.8903,1.7903,2.5496,4.6383,211.8,690.1,11.8294,0,34.175385,89.05872134,,0.050000001,0.998891839,6.0699801,11.944,,83.55954,9.5248766,3.0999999,,0.50599998,0,2,0,-1.326720357,40,0,0.49900001,6,0,0.006734352,,93.170067,0.29311031,47.808403,,0,12.028174,1.2619883,28,41179351,2.07889E+11,5048.3877,434.12802,92.5,52.5,0.100359,0.56519997,1.86,,1.4163,0.013504,,2.8778,27.9784,1.5016,35654.023,8885242,152812,2160646,55920,33258,156549,,6875,286093,674840,3311,1733642,8421083,464159,3484905,107892,465823,5572,157.06,115931,,2389,414.58,24120,2205,146554,82.199997,92.5
IRL,372,Ireland,High income,Northern America and Europe,1,150,Europe,154,Northern Europe,,,Europe & Central Asia,2.2249999,187.45206,219.75342,1168.5049,97.32902931,2.5,6.5,0.1,,,,,,,,,32875.773,0.15090001,17.534201,0.79470003,,7.1248,28.1183,336.6,5879.9,49.7586,-0.40449437,0.125,99.19111869,49.31111047,6.6599998,0.937380004,0.92947501,4.8179998,5.5999999,,,,11.5,0.96799999,0,1,1,1.480219245,100,1,1.77,,1,0,0.650655866,105.99947,0.62067503,0,1.62,0,,0.61482912,44,5028230,4.9856E+11,99152.102,68.889999,45.119999,4.4499998,0.115,0.92760003,0.2586,1.5190001,,0.0148,90.3,4.3927,33.7627,,3236.9231,1892640,0,26150,,633380,152140,320130,60400,8561470,300150,0,187590,1892640,,265640,0,930,,1881.89,102796,3546.35,13750,1456.05,8890,0,3770,45.68,44.299999
ISR,376,Israel,High income,Northern Africa & Western Asia,1,142,Asia,145,Western Asia,,,Middle East & North Africa,2.4920001,294.30136,408.13699,687.15485,99.9,2.5,14.2,1,,,44.86,1.85,,4.03,3.04,46.28,16766.371,0.30829999,4.0572,0.15700001,,3.8168,18.9406,320.9,12700.1,11.7936,3.6352305,65.89888,91.46129488,7.085097745,14.51,1.081180322,1.08754,3.22,,,,,,0.83700001,22.034174,3,1,1.096136808,100,0,1.3609999,,1,0.14247088,0.829546273,141.759,0.53856081,63.46154,27.239,,,1.1434418,28,9364000,4.81591E+11,51430.078,21.639999,6.4640002,4.8140001,0.16078,0.35280001,0.28920001,3.552,24.7628,0.010927,81.9,1.6091,31.9331,19.2834,8834.5225,245755,494885,1419730,148609,145797,578164,15054,6578,1563110,531655,10683,1247103,245755,,64388,19985,74957,9243,454.275,529101,183.808,4088,123.079,16649,554,105744,5.0450001,5.3390002
ITA,380,Italy,High income,Northern America and Europe,1,150,Europe,39,Southern Europe,,,Europe & Central Asia,3.1440001,337.04108,272.9863,547.32465,95.82368779,2.5,6.3000002,2.9000001,,,,,,,,,120909.23,0.185,13.756,0.70649999,2.4633,5.6265,15.7575,271.8,6793.5,32.7538,0.45788339,8.8865652,64.31811864,21.35029246,6.1100001,0.772932005,1.99068,8.6850004,4,,,,30.700001,0.921,20.276098,2,1,0.400363147,100,0,1.707,75,1,0.002809684,0.92919296,128.3141,0.3210277,60.324253,53.757,8,,0.63679558,24,59066225,2.09988E+12,35551.285,295.71698,129.99001,92.599998,0.097546,1.0638,0.25119999,2.1142001,20.2623,0.018592,119.5,2.0923,30.2988,1.6301,52747.895,16945440,2940060,17827510,692811,732280,1066910,1286690,236530,12712480,1434650,290460,10849360,15267700,1507490,3011730,145100,1131370,,2694.34,573846,10764.87,113050,1871.27,47350,178180,331240,143.278,129.45
